Accession,Release_Date,Species,Genus,Family,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Authors,Publications,Geo_Location,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
MT276600,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29764,GenBank,complete,,,"Sit,T.H.S., Brackman,C.J., Sims,L.D., Tsang,D.N.C., Chu,D.K.W., Perera,R.A.P.M., Poon,L.L.M., Peiris,M.",,Hong Kong,Homo sapiens,,2020-03-08,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/HKG/case113_VM2003179/2020, complete genome"
MT418880,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29899,GenBank,complete,,,"Fink,L.",,USA: VA,Homo sapiens,,2020-04,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-DCLS-0095/2020, complete genome"
MT418881,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29899,GenBank,complete,,,"Fink,L.",,USA: VA,Homo sapiens,,2020-04,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-DCLS-0098/2020, complete genome"
MT418882,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29892,GenBank,complete,,,"Fink,L.",,USA: VA,Homo sapiens,,2020-04,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-DCLS-0099/2020, complete genome"
MT418883,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29868,GenBank,complete,,,"Fink,L.",,USA: VA,Homo sapiens,,2020-04,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-DCLS-0100/2020, complete genome"
MT418884,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29893,GenBank,complete,,,"Fink,L.",,USA: VA,Homo sapiens,,2020-04,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-DCLS-0101/2020, complete genome"
MT418885,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29899,GenBank,complete,,,"Fink,L.",,USA: VA,Homo sapiens,,2020-04,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-DCLS-0104/2020, complete genome"
MT418886,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29838,GenBank,complete,,,"Fink,L.",,USA: VA,Homo sapiens,,2020-04,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-DCLS-0105/2020, complete genome"
MT418887,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29860,GenBank,complete,,,"Fink,L.",,USA: VA,Homo sapiens,,2020-04,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-DCLS-0106/2020, complete genome"
MT418888,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29858,GenBank,complete,,,"Fink,L.",,USA: VA,Homo sapiens,,2020-04,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-DCLS-0108/2020, complete genome"
MT418889,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29897,GenBank,complete,,,"Fink,L.",,USA: VA,Homo sapiens,,2020-04,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-DCLS-0109/2020, complete genome"
MT418890,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29851,GenBank,complete,,,"Fink,L.",,USA: VA,Homo sapiens,,2020-04,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-DCLS-0110/2020, complete genome"
MT418891,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29903,GenBank,complete,,,"Fink,L.",,USA: VA,Homo sapiens,,2020-04,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-DCLS-0111/2020, complete genome"
MT418892,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29854,GenBank,complete,,,"Fink,L.",,USA: VA,Homo sapiens,,2020-04,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-DCLS-0112/2020, complete genome"
MT418893,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29868,GenBank,partial,,,"Fink,L.",,USA: VA,Homo sapiens,,2020-04,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-DCLS-0114/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
MT418894,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29868,GenBank,partial,,,"Fink,L.",,USA: VA,Homo sapiens,,2020-04,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-DCLS-0115/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
MT419810,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29758,GenBank,complete,,,"Santiago,G.A., Gonzalez-Morales,G., Flores,B., Charriez,K., Cruz-Lopez,F., Kalinich,C., Fauver,J., Falcon,J.I., Grubaugh,N., Munoz-Jordan,J.L.",,Puerto Rico,Homo sapiens,oronasopharynx,2020-03-23,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV2/human/USA/PR-CDC-S1/2020, complete genome"
MT419811,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29743,GenBank,partial,,,"Santiago,G.A., Gonzalez-Morales,G., Flores,B., Charriez,K., Cruz-Lopez,F., Kalinich,C., Fauver,J., Falcon,J.I., Grubaugh,N., Munoz-Jordan,J.L.",,Puerto Rico,Homo sapiens,oronasopharynx,2020-03-23,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV2/human/USA/PR-CDC-S2/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), and ORF6 protein (ORF6) genes, complete cds; ORF7a protein (ORF7a) and ORF7b (ORF7b) genes, partial cds; and ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
MT419812,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29758,GenBank,complete,,,"Santiago,G.A., Gonzalez-Morales,G., Flores,B., Charriez,K., Cruz-Lopez,F., Kalinich,C., Fauver,J., Falcon,J.I., Grubaugh,N., Munoz-Jordan,J.L.",,Puerto Rico,Homo sapiens,oronasopharynx,2020-03-23,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV2/human/USA/PR-CDC-S3/2020, complete genome"
MT419813,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29570,GenBank,partial,,,"Santiago,G.A., Gonzalez-Morales,G., Flores,B., Charriez,K., Cruz-Lopez,F., Kalinich,C., Fauver,J., Falcon,J.I., Grubaugh,N., Munoz-Jordan,J.L.",,Puerto Rico,Homo sapiens,oronasopharynx,2020-03-23,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV2/human/USA/PR-CDC-S4/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), and ORF3a protein (ORF3a) genes, partial cds; envelope protein (E), membrane glycoprotein (M), and ORF6 protein (ORF6) genes, complete cds; ORF7a protein (ORF7a) and ORF7b (ORF7b) genes, partial cds; and ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
MT419814,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29743,GenBank,complete,,,"Santiago,G.A., Gonzalez-Morales,G., Flores,B., Charriez,K., Cruz-Lopez,F., Kalinich,C., Fauver,J., Falcon,J.I., Grubaugh,N., Munoz-Jordan,J.L.",,Puerto Rico,Homo sapiens,oronasopharynx,2020-03-23,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV2/human/USA/PR-CDC-S5/2020, complete genome"
MT419815,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29743,GenBank,complete,,,"Santiago,G.A., Gonzalez-Morales,G., Flores,B., Charriez,K., Cruz-Lopez,F., Kalinich,C., Fauver,J., Falcon,J.I., Grubaugh,N., Munoz-Jordan,J.L.",,Puerto Rico,Homo sapiens,oronasopharynx,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV2/human/USA/PR-CDC-S6/2020, complete genome"
MT419816,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29760,GenBank,complete,,,"Santiago,G.A., Gonzalez-Morales,G., Flores,B., Charriez,K., Cruz-Lopez,F., Kalinich,C., Fauver,J., Falcon,J.I., Grubaugh,N., Munoz-Jordan,J.L.",,Puerto Rico,Homo sapiens,oronasopharynx,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV2/human/USA/PR-CDC-S7/2020, complete genome"
MT419817,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29570,GenBank,partial,,,"Santiago,G.A., Gonzalez-Morales,G., Flores,B., Charriez,K., Cruz-Lopez,F., Kalinich,C., Fauver,J., Falcon,J.I., Grubaugh,N., Munoz-Jordan,J.L.",,Puerto Rico,Homo sapiens,oronasopharynx,2020-03-23,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV2/human/USA/PR-CDC-S8/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
MT419818,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29743,GenBank,complete,,,"Santiago,G.A., Gonzalez-Morales,G., Flores,B., Charriez,K., Cruz-Lopez,F., Kalinich,C., Fauver,J., Falcon,J.I., Grubaugh,N., Munoz-Jordan,J.L.",,Puerto Rico,Homo sapiens,oronasopharynx,2020-03-23,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV2/human/USA/PR-CDC-S9/2020, complete genome"
MT419819,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29743,GenBank,partial,,,"Santiago,G.A., Gonzalez-Morales,G., Flores,B., Charriez,K., Cruz-Lopez,F., Kalinich,C., Fauver,J., Falcon,J.I., Grubaugh,N., Munoz-Jordan,J.L.",,Puerto Rico,Homo sapiens,oronasopharynx,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV2/human/USA/PR-CDC-S10/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), and ORF6 protein (ORF6) genes, complete cds; ORF7a protein (ORF7a) and ORF7b (ORF7b) genes, partial cds; and ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
MT419820,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29706,GenBank,complete,,,"Santiago,G.A., Gonzalez-Morales,G., Flores,B., Charriez,K., Cruz-Lopez,F., Kalinich,C., Fauver,J., Falcon,J.I., Grubaugh,N., Munoz-Jordan,J.L.",,Puerto Rico,Homo sapiens,oronasopharynx,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV2/human/USA/PR-CDC-S11/2020, complete genome"
MT419821,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29743,GenBank,partial,,,"Santiago,G.A., Gonzalez-Morales,G., Flores,B., Charriez,K., Cruz-Lopez,F., Kalinich,C., Fauver,J., Falcon,J.I., Grubaugh,N., Munoz-Jordan,J.L.",,Puerto Rico,Homo sapiens,oronasopharynx,2020-04-01,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV2/human/USA/PR-CDC-S18/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), and ORF6 protein (ORF6) genes, complete cds; ORF7a protein (ORF7a) and ORF7b (ORF7b) genes, partial cds; and ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
MT419822,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29743,GenBank,partial,,,"Santiago,G.A., Gonzalez-Morales,G., Flores,B., Charriez,K., Cruz-Lopez,F., Kalinich,C., Fauver,J., Falcon,J.I., Grubaugh,N., Munoz-Jordan,J.L.",,Puerto Rico,Homo sapiens,oronasopharynx,2020-04-01,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV2/human/USA/PR-CDC-S19/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), and ORF6 protein (ORF6) genes, complete cds; ORF7a protein (ORF7a) and ORF7b (ORF7b) genes, partial cds; and ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
MT419827,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29675,GenBank,partial,,,"Deng,X., Gu,W., Federman,S., du Plessis,L., Pybus,O.G., Faria,N., Wang,C., Yu,G., Bushnell,B., Pan,C.-Y., Guevara,H., Sotomayor-Gonzalez,A., Zorn,K., Gopez,A., Servellita,V., Hsu,E., Miller,S., Bedford,T., Greninger,A.L., Roychoudhury,P., Starita,L.M., Famulare,M., Chu,H.Y., Shendure,J., Jerome,K.R., Anderson,C., Gangavarapu,K., Zeller,M., Spencer,E., Andersen,K.G., MacCannell,D., Paden,C.R., Li,Y., Zhang,J., Tong,S., Armstrong,G., Morrow,S., Willis,M., Matyas,B.T., Mase,S., Kasirye,O., Park,M., Masinde,G., Chan,C., Yu,A.T., Chai,S.J., Villarino,E., Bonin,B., Wadford,D.A., Chiu,C.Y.",,USA: CA,Homo sapiens,oronasopharynx,2020-03-04,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDPH-UC25/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), and ORF3a protein (ORF3a) genes, complete cds; envelope protein (E), membrane glycoprotein (M), and ORF6 protein (ORF6) genes, partial cds; ORF7a protein (ORF7a), ORF7b (ORF7b), and ORF8 protein (ORF8) genes, complete cds; and nucleocapsid phosphoprotein (N) gene, partial cds"
MT419828,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29462,GenBank,partial,,,"Deng,X., Gu,W., Federman,S., du Plessis,L., Pybus,O.G., Faria,N., Wang,C., Yu,G., Bushnell,B., Pan,C.-Y., Guevara,H., Sotomayor-Gonzalez,A., Zorn,K., Gopez,A., Servellita,V., Hsu,E., Miller,S., Bedford,T., Greninger,A.L., Roychoudhury,P., Starita,L.M., Famulare,M., Chu,H.Y., Shendure,J., Jerome,K.R., Anderson,C., Gangavarapu,K., Zeller,M., Spencer,E., Andersen,K.G., MacCannell,D., Paden,C.R., Li,Y., Zhang,J., Tong,S., Armstrong,G., Morrow,S., Willis,M., Matyas,B.T., Mase,S., Kasirye,O., Park,M., Masinde,G., Chan,C., Yu,A.T., Chai,S.J., Villarino,E., Bonin,B., Wadford,D.A., Chiu,C.Y.",,USA: CA,Homo sapiens,oronasopharynx,2020-03-05,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-SCCPHD-UC15/2020 ORF1ab polyprotein (ORF1ab) and ORF1a polyprotein (ORF1ab) genes, partial cds; and surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
MT419829,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29823,GenBank,complete,,,"Deng,X., Gu,W., Federman,S., du Plessis,L., Pybus,O.G., Faria,N., Wang,C., Yu,G., Bushnell,B., Pan,C.-Y., Guevara,H., Sotomayor-Gonzalez,A., Zorn,K., Gopez,A., Servellita,V., Hsu,E., Miller,S., Bedford,T., Greninger,A.L., Roychoudhury,P., Starita,L.M., Famulare,M., Chu,H.Y., Shendure,J., Jerome,K.R., Anderson,C., Gangavarapu,K., Zeller,M., Spencer,E., Andersen,K.G., MacCannell,D., Paden,C.R., Li,Y., Zhang,J., Tong,S., Armstrong,G., Morrow,S., Willis,M., Matyas,B.T., Mase,S., Kasirye,O., Park,M., Masinde,G., Chan,C., Yu,A.T., Chai,S.J., Villarino,E., Bonin,B., Wadford,D.A., Chiu,C.Y.",,USA: CA,Homo sapiens,oronasopharynx,2020-02-28,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDPH-UC1/2020, complete genome"
MT419830,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29851,GenBank,complete,,,"Deng,X., Gu,W., Federman,S., du Plessis,L., Pybus,O.G., Faria,N., Wang,C., Yu,G., Bushnell,B., Pan,C.-Y., Guevara,H., Sotomayor-Gonzalez,A., Zorn,K., Gopez,A., Servellita,V., Hsu,E., Miller,S., Bedford,T., Greninger,A.L., Roychoudhury,P., Starita,L.M., Famulare,M., Chu,H.Y., Shendure,J., Jerome,K.R., Anderson,C., Gangavarapu,K., Zeller,M., Spencer,E., Andersen,K.G., MacCannell,D., Paden,C.R., Li,Y., Zhang,J., Tong,S., Armstrong,G., Morrow,S., Willis,M., Matyas,B.T., Mase,S., Kasirye,O., Park,M., Masinde,G., Chan,C., Yu,A.T., Chai,S.J., Villarino,E., Bonin,B., Wadford,D.A., Chiu,C.Y.",,USA: CA,Homo sapiens,oronasopharynx,2020-02-27,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDPH-UC3/2020, complete genome"
MT419831,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29834,GenBank,complete,,,"Deng,X., Gu,W., Federman,S., du Plessis,L., Pybus,O.G., Faria,N., Wang,C., Yu,G., Bushnell,B., Pan,C.-Y., Guevara,H., Sotomayor-Gonzalez,A., Zorn,K., Gopez,A., Servellita,V., Hsu,E., Miller,S., Bedford,T., Greninger,A.L., Roychoudhury,P., Starita,L.M., Famulare,M., Chu,H.Y., Shendure,J., Jerome,K.R., Anderson,C., Gangavarapu,K., Zeller,M., Spencer,E., Andersen,K.G., MacCannell,D., Paden,C.R., Li,Y., Zhang,J., Tong,S., Armstrong,G., Morrow,S., Willis,M., Matyas,B.T., Mase,S., Kasirye,O., Park,M., Masinde,G., Chan,C., Yu,A.T., Chai,S.J., Villarino,E., Bonin,B., Wadford,D.A., Chiu,C.Y.",,USA: CA,Homo sapiens,oronasopharynx,2020-02-27,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDPH-UC2/2020, complete genome"
